Group,Item,Status,Priority,Sprint,Agent/Owner,Description,Dependency,GitHub Link,Due Date,Notes
Sprint 0 - Foundation And Decisions,Confirm client launch decisions,Not Started,Critical,Sprint 0,Product Architecture Agent,"Shipping-only launch is confirmed. Still confirm launch product count, final payment gateway/provider, database choice, and whether POS is needed on day one.",None,,,
Sprint 0 - Foundation And Decisions,Create and protect Sprint 0 branch,Done,High,Sprint 0,DevOps And QA Agent,"Create sprint-0-foundation branch and push it to GitHub.",None,https://github.com/TheGamePond/TheGamePond/tree/sprint-0-foundation,,Completed locally and pushed.
Sprint 0 - Foundation And Decisions,Add planning docs to repository,Done,High,Sprint 0,Product Architecture Agent,"Add architecture decision, lean plan, sprint plan, handoff, and agent docs under docs/.",None,https://github.com/TheGamePond/TheGamePond/tree/sprint-0-foundation/docs,,Completed in Sprint 0 branch.
Sprint 0 - Foundation And Decisions,Install local .NET SDK and verify build,Done,High,Sprint 0,DevOps And QA Agent,"Install repo-local .NET 8 SDK, add NuGet.Config, and verify the solution builds.",None,,,
Sprint 0 - Foundation And Decisions,Add Game Pond brand assets,Done,High,Sprint 0,Brand And UI Agent,"Copy logo and color chart into wwwroot/images/brand and use the real palette in the app shell.",None,,,
Sprint 0 - Foundation And Decisions,Create branded app shell,Done,High,Sprint 0,Brand And UI Agent,"Update layout, navbar, home page, and CSS to use The Game Pond brand.",Brand assets,,,
Sprint 0 - Foundation And Decisions,Open pull request for Sprint 0,Not Started,High,Sprint 0,DevOps And QA Agent,"Open PR from sprint-0-foundation to master. Connector could not create PR automatically because GitHub returned 403.",Sprint 0 branch pushed,https://github.com/TheGamePond/TheGamePond/pull/new/sprint-0-foundation,,
Sprint 1 - Product And Inventory Admin,Add EF Core packages,Not Started,Critical,Sprint 1,Database And EF Core Agent,"Add EF Core provider package for PostgreSQL or SQL Server Express based on final database choice.",Database choice,,,
Sprint 1 - Product And Inventory Admin,Create ApplicationDbContext,Not Started,Critical,Sprint 1,Database And EF Core Agent,"Create the application database context and register it in Program.cs.",EF Core packages,,,
Sprint 1 - Product And Inventory Admin,Add ASP.NET Core Identity,Not Started,Critical,Sprint 1,Backend And Admin Agent,"Configure Identity, roles, login/logout, and initial owner/admin/staff roles.",ApplicationDbContext,,,
Sprint 1 - Product And Inventory Admin,Create product entities,Not Started,Critical,Sprint 1,Database And EF Core Agent,"Create Product, ProductCategory, ProductImage, ConditionGrade, and related entity models.",ApplicationDbContext,,,
Sprint 1 - Product And Inventory Admin,Create inventory entities,Not Started,Critical,Sprint 1,Database And EF Core Agent,"Create InventoryItem and StockAdjustment models with quantity on hand, low-stock threshold, SKU, barcode, and audit fields.",Product entities,,,
Sprint 1 - Product And Inventory Admin,Create first EF migration,Not Started,High,Sprint 1,Database And EF Core Agent,"Generate and validate the first database migration for Identity, products, and inventory.",Entities created,,,
Sprint 1 - Product And Inventory Admin,Build product admin list,Not Started,High,Sprint 1,Backend And Admin Agent,"Create admin product list with search and basic filtering.",Product entities,,,
Sprint 1 - Product And Inventory Admin,Build product create/edit form,Not Started,High,Sprint 1,Backend And Admin Agent,"Create Razor forms for adding and editing products with validation.",Product admin list,,,
Sprint 1 - Product And Inventory Admin,Build product image upload,Not Started,High,Sprint 1,Backend And Admin Agent,"Support local product image upload, validation, and preview.",Product create/edit form,,,
Sprint 1 - Product And Inventory Admin,Build stock adjustment workflow,Not Started,High,Sprint 1,Backend And Admin Agent,"Allow staff to add, remove, and correct stock while recording a StockAdjustment entry.",Inventory entities,,,
Sprint 1 - Product And Inventory Admin,Add low-stock admin alert,Not Started,Medium,Sprint 1,Backend And Admin Agent,"Show products below threshold in the admin dashboard or inventory page.",Stock adjustment workflow,,,
Sprint 2 - Storefront And Cart,Build storefront product query,Not Started,High,Sprint 2,Storefront Agent,"Create query/service for active in-stock products and categories.",Sprint 1 product data,,,
Sprint 2 - Storefront And Cart,Build shop page,Not Started,High,Sprint 2,Storefront Agent,"Create shop page with product cards, category filter, and basic search.",Storefront product query,,,
Sprint 2 - Storefront And Cart,Build product detail page,Not Started,High,Sprint 2,Storefront Agent,"Create product detail page with image, price, condition, SKU, stock status, and add-to-cart button.",Shop page,,,
Sprint 2 - Storefront And Cart,Build cart model/service,Not Started,Critical,Sprint 2,Storefront Agent,"Implement cart session or persisted cart service with add/remove/update quantity.",Product detail page,,,
Sprint 2 - Storefront And Cart,Add stock validation to cart,Not Started,Critical,Sprint 2,Storefront Agent,"Prevent cart quantities from exceeding available stock.",Cart service,,,
Sprint 2 - Storefront And Cart,Mobile storefront QA,Not Started,Medium,Sprint 2,Brand And UI Agent,"Check home, shop, product, and cart pages on mobile sizes.",Storefront pages,,,
Sprint 3 - Checkout Payment And Orders,Create order entities,Not Started,Critical,Sprint 3,Database And EF Core Agent,"Create Order, OrderItem, PaymentEvent, and status fields.",Cart service,,,
Sprint 3 - Checkout Payment And Orders,Create checkout review page,Not Started,High,Sprint 3,Storefront Agent,"Create checkout review form for customer info, shipping address/method, and totals.",Order entities,,,
Sprint 3 - Checkout Payment And Orders,Implement payment gateway checkout adapter,Not Started,Critical,Sprint 3,Payment Agent,"Create a provider-neutral checkout service with Stripe Checkout as the first temporary adapter.",Checkout review page,,,
Sprint 3 - Checkout Payment And Orders,Implement payment gateway webhook endpoint,Not Started,Critical,Sprint 3,Payment Agent,"Verify active gateway webhook signatures and process completed checkout events.",Payment gateway checkout adapter,,,
Sprint 3 - Checkout Payment And Orders,Add webhook idempotency,Not Started,Critical,Sprint 3,Payment Agent,"Record payment event IDs and prevent duplicate stock/order updates.",Payment gateway webhook endpoint,,,
Sprint 3 - Checkout Payment And Orders,Decrement inventory after payment,Not Started,Critical,Sprint 3,Backend And Admin Agent,"Decrease inventory only after verified payment confirmation.",Webhook idempotency,,,
Sprint 3 - Checkout Payment And Orders,Create order confirmation page,Not Started,High,Sprint 3,Storefront Agent,"Show confirmation after payment and order creation.",Payment gateway webhook,,,
Sprint 4 - Admin Order Handling,Build orders admin table,Not Started,High,Sprint 4,Backend And Admin Agent,"Create admin orders table with status, payment status, customer, total, and date.",Order entities,,,
Sprint 4 - Admin Order Handling,Build order detail page,Not Started,High,Sprint 4,Backend And Admin Agent,"Create order detail page with line items, customer info, staff notes, and status history.",Orders admin table,,,
Sprint 4 - Admin Order Handling,Implement order status transitions,Not Started,Critical,Sprint 4,Backend And Admin Agent,"Support Pending Payment, Payment Received, Processing, Packed, Shipped, Delivered, Cancelled, Refunded.",Order detail page,,,
Sprint 4 - Admin Order Handling,Add tracking number field,Not Started,Medium,Sprint 4,Backend And Admin Agent,"Allow staff to record tracking number when marking order shipped.",Order status transitions,,,
Sprint 4 - Admin Order Handling,Add customer notification hooks,Not Started,Medium,Sprint 4,Backend And Admin Agent,"Prepare email notification hooks for paid, shipped, cancelled, and refunded statuses.",Order status transitions,,,
Sprint 5 - Trade-In Workflow,Create trade-in entities,Not Started,High,Sprint 5,Trade-In Agent,"Create TradeInRequest, TradeInItem, and TradeInImage models.",Product/inventory foundation,,,
Sprint 5 - Trade-In Workflow,Build customer trade-in form,Not Started,High,Sprint 5,Trade-In Agent,"Create public form for item details, condition, photos, and contact info.",Trade-in entities,,,
Sprint 5 - Trade-In Workflow,Build admin trade-in queue,Not Started,High,Sprint 5,Trade-In Agent,"Create admin queue for reviewing submitted trade-ins.",Customer trade-in form,,,
Sprint 5 - Trade-In Workflow,Add offer workflow,Not Started,High,Sprint 5,Trade-In Agent,"Allow staff to record offer amount, status, and notes.",Admin trade-in queue,,,
Sprint 5 - Trade-In Workflow,Convert accepted trade-in to inventory,Not Started,Critical,Sprint 5,Trade-In Agent,"Create product/inventory item from accepted trade-in with traceability.",Offer workflow,,,
Sprint 6 - Analytics And Polish,Build admin dashboard metrics,Not Started,High,Sprint 6,Analytics And Growth Agent,"Show daily orders, revenue, low-stock count, pending orders, and pending trade-ins.",Orders and inventory data,,,
Sprint 6 - Analytics And Polish,Build top products query,Not Started,Medium,Sprint 6,Analytics And Growth Agent,"Show top-selling products based on order items.",Paid orders,,,
Sprint 6 - Analytics And Polish,Polish admin navigation,Not Started,Medium,Sprint 6,Brand And UI Agent,"Improve admin navigation and scanability for daily operations.",Admin pages,,,
Sprint 6 - Analytics And Polish,Plan product import/export,Not Started,Low,Sprint 6,Content And Catalog Agent,"Define CSV fields and future import/export behavior.",Product fields stable,,,
Sprint 7 - VPS Deployment,Create VPS setup guide,Not Started,High,Sprint 7,VPS Deployment Agent,"Document server setup for .NET runtime, PostgreSQL, reverse proxy, SSL, and app service.",Deployment target selected,,,
Sprint 7 - VPS Deployment,Configure reverse proxy plan,Not Started,High,Sprint 7,VPS Deployment Agent,"Choose Nginx or Caddy and document config for Kestrel.",VPS setup guide,,,
Sprint 7 - VPS Deployment,Create backup plan,Not Started,Critical,Sprint 7,VPS Deployment Agent,"Document and test database and uploads backup/restore process.",Database selected,,,
Sprint 7 - VPS Deployment,Create environment variable checklist,Not Started,High,Sprint 7,VPS Deployment Agent,"List connection string, Stripe keys, webhook secret, email keys, and upload paths.",Payment/email choices,,,
Sprint 7 - VPS Deployment,Deploy staging app,Not Started,Critical,Sprint 7,VPS Deployment Agent,"Deploy app to staging VPS over HTTPS and verify basic functionality.",VPS configured,,,
Sprint 8 - Final QA And Handoff,Run full order smoke test,Not Started,Critical,Sprint 8,DevOps And QA Agent,"Create product, add to cart, pay test checkout, receive webhook, verify order and stock decrement.",Sprint 3 and 4 complete,,,
Sprint 8 - Final QA And Handoff,Run mobile QA,Not Started,High,Sprint 8,DevOps And QA Agent,"Validate key pages on mobile and desktop sizes.",UI complete,,,
Sprint 8 - Final QA And Handoff,Run admin permission QA,Not Started,High,Sprint 8,DevOps And QA Agent,"Verify staff/admin/owner permissions for products, orders, inventory, and trade-ins.",Identity roles complete,,,
Sprint 8 - Final QA And Handoff,Create staff quick-start guide,Not Started,High,Sprint 8,Product Architecture Agent,"Write guide for adding products, adjusting stock, processing orders, and reviewing trade-ins.",MVP workflows complete,,,
Sprint 8 - Final QA And Handoff,Create known limitations list,Not Started,Medium,Sprint 8,Product Architecture Agent,"Document what is intentionally out of MVP and what comes next.",MVP scope complete,,,
Client Questions,Confirm database choice,Not Started,Critical,Client Questions,Product Architecture Agent,"PostgreSQL on Linux VPS is preferred. SQL Server Express is alternate if the team chooses Windows-first.",None,,,
Client Questions,Confirm shipping and pickup rules,Done,Critical,Client Questions,Product Architecture Agent,"Launch supports shipping only. Local pickup is deferred unless the client changes direction.",None,,,
Client Questions,Confirm trade-in payout policy,Not Started,High,Client Questions,Trade-In Agent,"Decide store credit only, cash only, or both.",None,,,
Client Questions,Confirm launch product count,Not Started,High,Client Questions,Content And Catalog Agent,"Decide how many real products will be entered before launch.",None,,,
Client Questions,Confirm POS requirement,Not Started,High,Client Questions,Product Architecture Agent,"Decide whether in-person POS is required on day one.",None,,,
Backlog,Customer accounts,Not Started,Low,Backlog,Backend And Admin Agent,"Add customer login and order history after MVP.",MVP launch,,,
Backlog,Wishlist,Not Started,Low,Backlog,Storefront Agent,"Allow customers to save products.",Customer accounts,,,
Backlog,Loyalty rewards,Not Started,Low,Backlog,Analytics And Growth Agent,"Add loyalty/rewards after orders and accounts are stable.",Customer accounts,,,
Backlog,Square adapter,Not Started,Low,Backlog,Integration Adapter Agent,"Add Square API integration if business needs POS/inventory sync later.",MVP launch,,,
Backlog,Shopify adapter,Not Started,Low,Backlog,Integration Adapter Agent,"Add Shopify adapter if ecommerce backend direction changes later.",MVP launch,,,
Backlog,Barcode scanner workflow,Not Started,Medium,Backlog,Backend And Admin Agent,"Add scanner-friendly inventory workflows once physical operations are confirmed.",Inventory admin,,,
